Date,Adj Close,Close,High,Low,Open,Volume,Daily_Return
2023-01-03,171.05999755859375,171.05999755859375,172.08999633789062,170.02000427246094,171.32000732421875,7992900,0.0
2023-01-04,172.6699981689453,172.6699981689453,173.08999633789062,171.85000610351562,172.86000061035156,7574600,0.0094119059589024
2023-01-05,170.52000427246094,170.52000427246094,171.0,169.7899932861328,170.82000732421875,4692600,-0.012451461859522062
2023-01-06,173.7100067138672,173.7100067138672,173.9600067138672,171.22999572753906,171.75999450683594,7889000,0.01870749684189077
2023-01-09,174.10000610351562,174.10000610351562,175.0399932861328,173.8800048828125,174.50999450683594,5134500,0.0022451175785793698
2023-01-10,174.74000549316406,174.74000549316406,174.97999572753906,174.05999755859375,174.61000061035156,4398400,0.0036760446135073455
2023-01-11,174.6199951171875,174.6199951171875,174.7899932861328,173.72000122070312,174.75999450683594,3374200,-0.000686793935011365
2023-01-12,176.63999938964844,176.63999938964844,176.7100067138672,174.8800048828125,176.00999450683594,6936900,0.011568000967502767
2023-01-13,178.75999450683594,178.75999450683594,178.8300018310547,176.88999938964844,176.9600067138672,7468800,0.012001783992939385
2023-01-17,177.58999633789062,177.58999633789062,178.24000549316406,177.08999633789062,178.2100067138672,6610800,-0.00654507834469964
2023-01-18,177.0800018310547,177.0800018310547,179.17999267578125,176.89999389648438,178.9199981689453,5384700,-0.0028717524486322477
2023-01-19,179.88999938964844,179.88999938964844,180.02999877929688,178.08999633789062,178.3699951171875,6678700,0.015868520044824974
2023-01-20,179.2899932861328,179.2899932861328,179.66000366210938,178.64999389648438,179.05999755859375,5754800,-0.003335405556458948
2023-01-23,179.6300048828125,179.6300048828125,179.69000244140625,177.77999877929688,178.35000610351562,5265500,0.0018964337632443318
2023-01-24,180.27999877929688,180.27999877929688,180.32000732421875,178.35000610351562,179.55999755859375,4604600,0.003618515163479552
2023-01-25,181.1100006103516,181.1100006103516,181.22000122070312,179.2899932861328,179.35000610351562,6925300,0.004603959599926766
2023-01-26,179.47000122070312,179.47000122070312,180.2700042724609,178.4600067138672,180.1499938964844,5860100,-0.009055266877155188
2023-01-27,179.22000122070312,179.22000122070312,179.72000122070312,178.25999450683594,179.27000427246094,6052700,-0.0013929904624704337
2023-01-30,178.75999450683594,178.75999450683594,179.42999267578125,178.64999389648438,179.2899932861328,4210700,-0.002566715270248765
2023-01-31,179.41000366210938,179.41000366210938,179.6999969482422,178.5399932861328,178.82000732421875,5976900,0.0036362115419990015
2023-02-01,181.6699981689453,181.6699981689453,181.72999572753903,178.6300048828125,179.75,7996000,0.012596814339808304
2023-02-02,177.89999389648438,177.89999389648438,181.1100006103516,177.74000549316406,181.0800018310547,8842400,-0.02075193653580043
2023-02-03,173.4600067138672,173.4600067138672,175.42999267578125,173.1199951171875,174.9199981689453,13674400,-0.024957770292002968
2023-02-06,173.82000732421875,173.82000732421875,174.4600067138672,173.27999877929688,174.11000061035156,8957000,0.0020754098721176284
2023-02-07,173.97999572753906,173.97999572753906,175.27000427246094,173.47000122070312,173.72000122070312,6794200,0.000920425708082595
2023-02-08,174.41000366210938,174.41000366210938,174.99000549316406,173.8300018310547,174.94000244140625,4075600,0.002471594120761589
2023-02-09,173.02999877929688,173.02999877929688,175.52000427246094,172.8699951171875,175.49000549316406,5361300,-0.007912418174625069
2023-02-10,173.36000061035156,173.36000061035156,173.67999267578125,172.6300048828125,173.6300048828125,2971100,0.0019071943211166342
2023-02-13,172.47999572753906,172.47999572753906,172.89999389648438,172.07000732421875,172.6999969482422,3970800,-0.005076170279846859
2023-02-14,172.61000061035156,172.61000061035156,173.50999450683594,171.41000366210938,171.97000122070312,5403100,0.0007537389032514774
2023-02-15,170.88999938964844,170.88999938964844,170.99000549316406,170.16000366210938,170.60000610351562,5423800,-0.00996466725346834
2023-02-16,170.75,170.75,171.60000610351562,169.9600067138672,170.33999633789062,4540400,-0.0008192368783922488
2023-02-17,171.25999450683594,171.25999450683594,171.47000122070312,169.52000427246094,169.8699951171875,4809800,0.002986790669610162
2023-02-21,170.6199951171875,170.6199951171875,171.5,170.33999633789062,171.1999969482422,4035900,-0.003737004613899475
2023-02-22,169.66000366210938,169.66000366210938,170.9600067138672,169.55999755859375,170.80999755859375,4105700,-0.005626488586046308
2023-02-23,169.57000732421875,169.57000732421875,170.1300048828125,169.0800018310547,169.83999633789062,5073500,-0.0005304511136865475
2023-02-24,168.35000610351562,168.35000610351562,168.83999633789062,168.19000244140625,168.4199981689453,6496500,-0.00719467575637045
2023-02-27,169.00999450683594,169.00999450683594,169.22999572753906,168.5500030517578,168.8800048828125,4509200,0.003920334893926292
2023-02-28,169.77999877929688,169.77999877929688,170.25,168.58999633789062,168.77999877929688,6761600,0.00455596886271592
2023-03-01,170.75999450683594,170.75999450683594,171.49000549316406,170.47000122070312,170.9499969482422,6590500,0.005772150633673867
2023-03-02,170.66000366210938,170.66000366210938,170.97999572753906,170.36000061035156,170.52000427246094,3950700,-0.0005855636445488699
2023-03-03,172.49000549316406,172.49000549316406,172.60000610351562,170.97999572753906,171.4499969482422,6894500,0.010723085619275707
2023-03-06,171.6199951171875,171.6199951171875,172.3699951171875,171.5399932861328,172.32000732421875,4264100,-0.005043830646819902
2023-03-07,168.6199951171875,168.6199951171875,170.47000122070312,168.52000427246094,170.4199981689453,8713300,-0.017480480627863337
2023-03-08,168.5399932861328,168.5399932861328,169.58999633789062,168.52000427246094,168.61000061035156,5718600,-0.00047445044105887124
2023-03-09,170.1999969482422,170.1999969482422,170.64999389648438,169.7100067138672,169.75,5583000,0.009849316056938173
2023-03-10,173.8699951171875,173.8699951171875,173.8800048828125,171.9199981689453,171.92999267578125,13803400,0.021562856843419187
2023-03-13,177.86000061035156,177.86000061035156,178.02000427246094,176.3000030517578,176.66000366210938,20554400,0.022948211912439564
2023-03-14,176.8300018310547,176.8300018310547,177.58999633789062,176.2100067138672,177.35000610351562,10019000,-0.005791064746217711
2023-03-15,178.2100067138672,178.2100067138672,180.1300048828125,177.49000549316406,178.86000061035156,14546100,0.007804133170404848
2023-03-16,178.57000732421875,178.57000732421875,179.64999389648438,177.8699951171875,179.50999450683594,10762200,0.002020092008242713
2023-03-17,183.7700042724609,183.7700042724609,184.8099975585937,180.7700042724609,181.0200042724609,24156300,0.029120214677489598
2023-03-20,183.83999633789065,183.83999633789065,184.5399932861328,182.7400054931641,184.19000244140625,11845700,0.00038086773577017397
2023-03-21,180.3699951171875,180.3699951171875,182.72999572753903,179.89999389648438,182.6499938964844,10734500,-0.018875115806276654
2023-03-22,183.44000244140625,183.44000244140625,183.94000244140625,180.27999877929688,180.3999938964844,11969600,0.01702060989813825
2023-03-23,185.7400054931641,185.7400054931641,186.2400054931641,183.6000061035156,183.9100036621093,11347100,0.01253817608562513
2023-03-24,183.6499938964844,183.6499938964844,185.9900054931641,183.6199951171875,185.6100006103516,9245900,-0.011252350246951037
2023-03-27,181.9499969482422,181.9499969482422,182.1499938964844,180.69000244140625,181.1499938964844,6925000,-0.009256722051406263
2023-03-28,183.44000244140625,183.44000244140625,183.6199951171875,182.1199951171875,182.3099975585937,6202600,0.008189093257242153
2023-03-29,182.52999877929688,182.52999877929688,183.2700042724609,182.2400054931641,182.4900054931641,4996500,-0.00496077000653139
2023-03-30,184.17999267578125,184.17999267578125,184.44000244140625,182.5500030517578,182.75,6360300,0.009039576549164652
2023-03-31,183.22000122070312,183.22000122070312,184.4199981689453,182.8000030517578,184.1100006103516,8003300,-0.005212246135594234
2023-04-03,184.5399932861328,184.5399932861328,185.0399932861328,183.32000732421875,183.8500061035156,9206600,0.007204410308019105
2023-04-04,187.97999572753903,187.97999572753903,188.22999572753903,184.6600036621093,184.72000122070312,13765400,0.018640958960437493
2023-04-05,187.8300018310547,187.8300018310547,188.8600006103516,186.77999877929688,188.33999633789065,11440800,-0.0007979247786650268
2023-04-06,186.4900054931641,186.4900054931641,187.259994506836,185.9499969482422,186.88999938964844,6648400,-0.00713409106547247
2023-04-10,185.1100006103516,185.1100006103516,185.3600006103516,184.19000244140625,185.17999267578125,6408100,-0.007399886547073353
2023-04-11,186.27999877929688,186.27999877929688,186.509994506836,185.63999938964844,185.9100036621093,6031500,0.006320556237304986
2023-04-12,187.19000244140625,187.19000244140625,187.6600036621093,185.97000122070312,187.5399932861328,10000900,0.004885138866613126
2023-04-13,189.72000122070312,189.72000122070312,190.4100036621093,188.9900054931641,189.759994506836,14060100,0.013515672558895409
2023-04-14,186.3600006103516,186.3600006103516,188.4900054931641,185.1699981689453,188.0800018310547,13272500,-0.017710313033588942
2023-04-17,185.52999877929688,185.52999877929688,185.92999267578125,184.1000061035156,185.88999938964844,7468100,-0.0044537552497121435
