Date,Adj Close,Close,High,Low,Open,Volume,Daily_Return
2024-09-20,555.43212890625,568.25,569.3099975585938,565.1699829101562,567.8400268554688,77503100,0.0
2024-09-23,556.820068359375,569.6699829101562,570.3300170898438,568.0999755859375,569.3400268554688,44116900,0.0024988700574681832
2024-09-24,558.413330078125,571.2999877929688,571.3599853515625,567.5999755859375,570.47998046875,46805700,0.0028613143253319873
2024-09-25,557.1817626953125,570.0399780273438,571.8900146484375,568.9099731445312,571.1400146484375,38428600,-0.0022055133774685487
2024-09-26,559.3907470703125,572.2999877929688,574.7100219726562,569.9000244140625,574.3800048828125,48336000,0.003964651345061521
2024-09-27,558.579345703125,571.469970703125,574.219970703125,570.4199829101562,573.3900146484375,42100900,-0.0014503182029491635
2024-09-30,560.8178100585938,573.760009765625,574.3800048828125,568.0800170898438,570.4199829101562,63557400,0.0040072780371684935
2024-10-01,555.7937622070312,568.6199951171875,574.0599975585938,566.0,573.4000244140625,72668800,-0.0089584749040581
2024-10-02,556.0283203125,568.8599853515625,569.9000244140625,565.27001953125,567.7100219726562,38097800,0.00042205732551758857
2024-10-03,555.0118408203125,567.8200073242188,569.7999877929688,565.489990234375,567.3599853515625,40846500,-0.0018281792604923908
2024-10-04,560.055419921875,572.97998046875,573.3599853515625,568.0999755859375,572.3499755859375,42939100,0.009087339434985742
2024-10-07,554.9922485351562,567.7999877929688,571.9600219726562,566.6300048828125,571.2999877929688,49964700,-0.009040442689714157
2024-10-08,560.2410278320312,573.1699829101562,573.780029296875,569.530029296875,570.4199829101562,37398700,0.009457547081078044
2024-10-09,564.12158203125,577.1400146484375,577.7100219726562,572.5499877929688,573.1599731445312,37912200,0.006926447400689373
2024-10-10,563.1343994140625,576.1300048828125,577.5800170898438,574.489990234375,575.77001953125,44138100,-0.0017500255397128184
2024-10-11,566.5065307617188,579.5800170898438,580.3300170898438,575.9099731445312,576.0499877929688,42268000,0.005988252959907792
2024-10-14,571.1395874023438,584.3200073242188,585.27001953125,580.72998046875,581.219970703125,36217200,0.008178318945803564
2024-10-15,566.7020263671875,579.780029296875,584.9000244140625,578.5399780273438,584.5900268554688,54203600,-0.0077696775233381254
2024-10-16,569.1651000976562,582.2999877929688,582.8300170898438,578.9600219726562,579.780029296875,30725400,0.00434640444437151
2024-10-17,569.2140502929688,582.3499755859375,586.1199951171875,582.1599731445312,585.9099731445312,34393700,8.584543021927793e-05
2024-10-18,571.4035034179688,584.5900268554688,585.3900146484375,582.5800170898438,584.0700073242188,37416800,0.0038465722734466468
2024-10-21,570.4652709960938,583.6300048828125,584.8499755859375,580.5999755859375,583.8499755859375,36439000,-0.0016422140791901851
2024-10-22,570.1622924804688,583.3200073242188,584.5,580.3800048828125,581.0499877929688,34183800,-0.0005311542518380286
2024-10-23,564.952392578125,577.989990234375,581.7100219726562,574.4199829101562,581.260009765625,49314600,-0.009137380893711078
2024-10-24,566.1741943359375,579.239990234375,580.0599975585938,576.5700073242188,579.97998046875,34979900,0.0021626672107126765
2024-10-25,565.9788208007812,579.0399780273438,584.4600219726562,578.0800170898438,581.510009765625,47268200,-0.00034530110213959464
2024-10-28,567.7283935546875,580.8300170898438,582.7100219726562,580.52001953125,582.5800170898438,30174700,0.003091391148152267
2024-10-29,568.6470947265625,581.77001953125,582.9099731445312,578.4299926757812,579.8499755859375,42899700,0.0016183778622804734
2024-10-30,566.9269409179688,580.010009765625,583.3200073242188,579.2899780273438,581.2899780273438,41435800,-0.0030252672130528513
